epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.93301,2.28669,3.35411,2.81772,0.00341,1,0.26911,0.08044,1.97089,3.95685,2.75063,0.00020004,0.00020004,0.00020004
2,4.74185,1.40273,2.55654,1.81044,0.00348,1,0.37486,0.20338,1.12041,3.38304,1.89593,0.000389245,0.000389245,0.000389245
3,6.50172,1.07197,1.93301,1.49964,0.37268,0.41667,0.45116,0.2515,1.06459,3.08494,1.78141,0.000549843,0.000549843,0.000549843
4,8.22395,0.98425,1.5218,1.39909,0.60743,0.5,0.61408,0.43885,0.97357,2.54944,1.67001,0.000681836,0.000681836,0.000681836
5,10.0101,0.88841,1.42114,1.35316,0.81592,0.85,0.91699,0.73564,0.77422,2.06128,1.35019,0.000785224,0.000785224,0.000785224
6,26.4836,0.81872,2.04728,1.45791,0.88793,0.95651,0.954,0.72847,0.97026,1.99046,2.14122,0.000860005,0.000860005,0.000860005
7,28.159,0.74173,1.7626,1.41014,0.74559,0.97885,0.95241,0.76707,0.9763,2.22086,2.07283,0.000906181,0.000906181,0.000906181
8,29.8914,0.68208,1.59773,1.33262,0.81652,0.91222,0.98814,0.82337,0.69831,2.01627,1.43819,0.000896846,0.000896846,0.000896846
9,31.5998,0.63439,1.41825,1.28656,0.95192,0.9697,0.995,0.85378,0.78003,1.4485,1.36014,0.000786824,0.000786824,0.000786824
10,33.2522,0.59514,1.29674,1.26636,0.95109,1,0.995,0.8994,0.54558,1.05018,0.97089,0.000676802,0.000676802,0.000676802
11,34.9417,0.55113,1.19685,1.22645,0.9704,0.96667,0.98457,0.89293,0.53133,1.08886,0.93685,0.00056678,0.00056678,0.00056678
12,36.6512,0.51964,1.14562,1.202,0.99705,1,0.995,0.93458,0.41662,0.93624,0.82079,0.000456758,0.000456758,0.000456758
13,38.2677,0.468,1.11257,1.13643,0.99654,1,0.995,0.96226,0.36773,0.82233,0.76604,0.000346736,0.000346736,0.000346736
14,39.9411,0.47927,1.05913,1.19549,0.99571,1,0.995,0.99283,0.27419,0.84032,0.69889,0.000236714,0.000236714,0.000236714
15,41.5357,0.4451,1.04519,1.13413,0.99356,1,0.995,0.99305,0.2617,0.85353,0.68963,0.000126692,0.000126692,0.000126692
